ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
1504,Mahindra Xylo D2 BSIV,Chennai,2013,234000,Diesel,Manual,Second,14,2489,95,8,3.5,Mahindra
3562,Chevrolet Captiva LT,Jaipur,2009,232000,Diesel,Manual,First,17.9,1991,147.9,7,3.5,Chevrolet
1414,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5,Toyota
885,Toyota Qualis Fleet A3,Mumbai,2001,227000,Diesel,Manual,Fourth & Above,13,2446,75,8,2.2,Toyota
1927,Toyota Etios Liva GD,Pune,2012,225000,Diesel,Manual,Second,23.59,1364,67.06,5,2.6,Toyota
1604,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796,186,5,6,Mercedes-Benz
2984,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45,Ford
2404,Toyota Qualis RS E2,Pune,2004,215750,Diesel,Manual,Second,13.1,2446,75,10,3.5,Toyota
1213,Mahindra Xylo H4,,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,7.5,Mahindra
4540,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Hyderabad,2012,210000,Diesel,Manual,First,12.99,2494,100,7,9,Toyota
258,Ford Endeavour XLT TDCi 4X2,Jaipur,2007,205000,Diesel,Manual,Second,13.1,2499,141,7,3.9,Ford
1241,Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,Diesel,Automatic,First,17.68,1968,174.33,5,12.3,Audi
3281,Hyundai Verna CRDi,Chennai,2006,200000,Diesel,Manual,Second,16.8,1493,110,5,1.85,Hyundai
1324,Maruti Wagon R Vx,Jaipur,2001,200000,Petrol,Manual,First,12,1197,82,5,0.7,Maruti
1082,Tata Indica V2 DL BSIII,Hyderabad,2011,200000,Diesel,Manual,Second,17.88,1396,52.8,5,0.85,Tata
2234,Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85,Tata
1794,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Chennai,2011,200000,Diesel,Manual,First,12.8,2494,102,7,9,Toyota
3448,Toyota Innova 2.5 G4 Diesel 7-seater,,2007,199000,Diesel,Manual,Second,12.8,2494,102,7,5.2,Toyota
4807,Mahindra Xylo E4 ABS BS III,Bangalore,2013,197000,Diesel,Manual,First,11.68,2498,112,7,4,Mahindra
3214,Toyota Innova 2.5 V Diesel 7-seater,Chennai,2006,196000,Diesel,Manual,First,12.8,2494,102,7,6.25,Toyota
3353,Mahindra Bolero SLX 2WD,Bangalore,2006,193000,Diesel,Manual,Third,13.6,2523,63,7,2.5,Mahindra
3747,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,2008,192000,Diesel,Manual,First,12.8,2494,102,8,6.85,Toyota
4718,Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,16.78,1496,88.73,5,3.85,Toyota
3299,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5,2982,171,7,13,Toyota
4459,Honda City 1.5 EXI,Coimbatore,2004,186679,Petrol,Manual,Second,13,1493,100,5,1.76,Honda
1322,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2009,185200,Diesel,Manual,Second,12.8,2494,102,8,7.25,Toyota
4781,Ford Endeavour 4x2 XLT Limited Edition,Pune,2009,180000,Diesel,Manual,Fourth & Above,10.9,2499,143,7,7.5,Ford
205,Skoda Rapid 1.6 TDI Ambition,Hyderabad,2012,180000,Diesel,Manual,First,20.5,1598,103.5,5,3.65,Skoda
4120,Mitsubishi Montero 3.2 GLS,Chennai,2007,179032,Diesel,Manual,First,11.56,3200,199.3,7,7.5,Mitsubishi
2364,Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,179000,Diesel,Automatic,Second,12.8,2953,156,7,4.24,Ford
1680,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,2008,178280,Diesel,Manual,First,12.8,2494,102,8,5.9,Toyota
1102,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5,Tata
3707,Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,20.54,1598,103.6,5,4,Volkswagen
828,Volvo XC60 D5,Ahmedabad,2011,173000,Diesel,Automatic,First,13.5,2400,215,5,12,Volvo
2551,Fiat Linea Emotion Pack (Diesel),Pune,2010,172050,Diesel,Manual,Second,19,1248,91.7,5,2.25,Fiat
704,Toyota Fortuner 3.0 Diesel,Bangalore,2014,171000,Diesel,Manual,First,11.5,2982,171,7,16.75,Toyota
1998,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,2007,170428,Diesel,Manual,Second,12.8,2494,102,8,5.7,Toyota
3745,BMW 3 Series 320d Highline,Chennai,2008,170000,Diesel,Automatic,Third,16.07,1995,181,5,9.75,BMW
3808,BMW 5 Series 2003-2012 520d,Pune,2010,170000,Diesel,Automatic,Third,18.48,1995,177,5,12,BMW
558,Hyundai Elantra 1.6 SX,Pune,2013,170000,Diesel,Manual,First,22.54,1582,126.2,5,7.5,Hyundai
4829,Toyota Fortuner 2.8 4WD MT,Kochi,2011,169006,Diesel,Manual,First,14.24,2755,174.5,7,10.64,Toyota
1299,Ford Figo Diesel Titanium,Chennai,2011,169000,Diesel,Manual,First,20,1399,68,5,2.5,Ford
3847,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,5,Mahindra
4935,Maruti Ertiga VDI,Pune,2012,168000,Diesel,Manual,First,20.77,1248,88.76,7,4.5,Maruti
625,Mahindra Xylo E4 ABS BS III,Pune,2013,167362,Diesel,Manual,First,11.68,2498,112,7,4,Mahindra
3922,Tata Indigo CS LX (TDI) BS III,Chennai,2009,167000,Diesel,Manual,Second,19.09,1396,69,5,2.7,Tata
4997,Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461,84.8,7,3.9,Nissan
2340,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2011,166000,Diesel,Manual,First,12.99,2494,100.6,8,8.25,Toyota
1590,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1,796,37,4,0.9,Maruti
2703,Nissan Terrano XV 110 PS,Pune,2014,163000,Diesel,Manual,First,19.01,1461,108.5,5,5,Nissan
2227,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2012,162663,Diesel,Manual,First,12.99,2494,100.6,7,10.5,Toyota
389,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,12.8,2494,102,8,4.8,Toyota
306,Hyundai Accent CRDi,Kochi,2006,160538,Diesel,Manual,First,13.1,1493,82,5,1.8,Hyundai
2317,Hyundai Verna CRDi ABS,Chennai,2009,160000,Diesel,Manual,Second,18.1,1493,110,5,3.5,Hyundai
4312,Maruti Swift Dzire Tour LDI,Kolkata,2013,160000,Diesel,Manual,Second,23.4,1248,74,5,2.5,Maruti
4262,Mitsubishi Pajero 2.8 SFX,Chennai,2008,160000,Diesel,Manual,First,10.5,2835,107.2,6,8.75,Mitsubishi
3896,Tata Indigo LS,Pune,2006,160000,Diesel,Manual,First,17,1405,70,5,1,Tata
294,Toyota Corolla H4,Jaipur,2004,160000,Petrol,Automatic,Second,11.3,1794,125,5,1.5,Toyota
3449,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,First,12.99,2494,100,8,12,Toyota
4821,Toyota Qualis FS B2,Pune,2004,159692.4985,Diesel,Manual,Second,13.1,2446,75,10,3.5,Toyota
743,Tata Sumo Delux,Hyderabad,2015,158000,Diesel,Manual,Second,14.07,2956,83.1,7,1.5,Tata
1593,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,11.99,Toyota
2315,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99,2494,100,8,8,Toyota
4147,Toyota Corolla Altis Diesel D4DG,Hyderabad,2010,156210,Diesel,Manual,First,21.43,1364,87.2,5,5.99,Toyota
4073,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2009,156056,Diesel,Manual,First,12.8,2494,102,8,8.5,Toyota
1441,Renault Duster 85PS Diesel RxL Option,Jaipur,2013,156000,Diesel,Manual,First,19.87,1461,83.8,5,4.2,Renault
4166,Mitsubishi Pajero 4X4 LHD,Bangalore,2012,155566,Diesel,Manual,Second,9.5,2835,118.6,6,9.15,Mitsubishi
773,Maruti Baleno LXI,Pune,2006,155000,Petrol,Manual,Third,15.4,1590,94,5,0.85,Maruti
3930,Ford Endeavour 2.5L 4X2,Hyderabad,2010,154000,Diesel,Manual,First,13.1,2499,141,7,7.99,Ford
4148,Honda Civic 2006-2010 1.8 V MT,Hyderabad,2006,152000,Petrol,Manual,Second,13.5,1799,130,5,3,Honda
839,Maruti Swift Vdi BSIII,Jaipur,2010,152000,Diesel,Manual,First,17.8,1248,75,5,2.9,Maruti
2255,Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,Diesel,Manual,First,14.24,2755,174.5,7,23,Toyota
4806,BMW X5 3.0d,,2009,150000,Diesel,Automatic,First,11,2993,235,5,18.75,BMW
4499,Chevrolet Optra 1.6 Elite,Pune,2012,150000,Petrol,Manual,First,14.7,1598,104,5,1.5,Chevrolet
766,Hyundai Accent CRDi,Mumbai,2005,150000,Diesel,Manual,First,13.1,1493,82,5,0.85,Hyundai
3253,Hyundai Verna CRDi SX ABS,Hyderabad,2008,150000,Diesel,Manual,First,18.1,1493,110,5,3,Hyundai
861,Maruti Dzire LDI,Pune,2012,150000,Diesel,Manual,Third,28.4,1248,73.75,5,2.25,Maruti
3574,Maruti Ritz VXi,Kolkata,2011,150000,Petrol,Manual,First,18.5,1197,85.8,5,2.5,Maruti
4676,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4,1248,74,5,2.7,Maruti
3382,Nissan Micra Diesel XV,Kolkata,2011,150000,Diesel,Manual,First,23.08,1461,63.1,5,2.6,Nissan
4933,Nissan Sunny 2011-2014 Diesel XL,Chennai,2012,150000,Diesel,Manual,First,21.64,1461,84.8,5,3.5,Nissan
3022,Toyota Etios GD,Chennai,2012,150000,Diesel,Manual,Third,23.59,1364,67.05,5,3,Toyota
638,Toyota Innova 2.0 E,Delhi,2006,150000,Petrol,Manual,First,12.4,1998,132,8,4.5,Toyota
1303,Toyota Innova 2.5 VX (Diesel) 8 Seater,Delhi,2011,150000,Diesel,Manual,First,12.99,2494,100.6,8,6.95,Toyota
206,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,First,23.59,1364,67.05,5,6,Toyota
3140,Volkswagen Vento Diesel Highline,Chennai,2013,150000,Diesel,Manual,First,20.54,1598,103.6,5,5,Volkswagen
2787,Toyota Fortuner 3.0 Diesel,Jaipur,2009,149706,Diesel,Manual,First,11.5,2982,171,7,11,Toyota
1214,Hyundai Santa Fe 4X4,Bangalore,2011,148000,Diesel,Manual,Second,14.66,2199,194.3,7,8.9,Hyundai
4160,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248,74,5,4.75,Maruti
3076,Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,2.9,Tata
3456,Maruti Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248,73.9,5,3.55,Maruti
2894,Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5,2982,171,7,12.25,Toyota
871,Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,1.05,Maruti
1715,Ford Fiesta 1.6 ZXi ABS,Hyderabad,2007,145277,Petrol,Manual,First,15.3,1596,101,5,1.65,Ford
2437,Fiat Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.4,1248,91.7,5,2.6,Fiat
655,Maruti Wagon R LXI,Jaipur,2006,145000,Petrol,Manual,First,18.9,998,67.1,5,1.15,Maruti
3640,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Chennai,2007,145000,Diesel,Manual,First,12.8,2494,102,8,5,Toyota
2454,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2011,144471,Diesel,Manual,First,12.8,2494,102,8,7.8,Toyota
4075,Mahindra Scorpio VLX,Bangalore,2010,144400,Diesel,Manual,First,12.05,2179,120,8,5.25,Mahindra
4023,Toyota Fortuner 3.0 Diesel,Jaipur,2010,144113,Diesel,Manual,Second,11.5,2982,171,7,11.75,Toyota
4627,Mahindra XUV500 W8 1.99 mHawk,Chennai,2011,143354,Diesel,Manual,Second,16,1997,140,7,6,Mahindra
74,Hyundai Verna CRDi 1.6 SX,Hyderabad,2007,143275,Diesel,Manual,First,22,1582,126.2,5,2.6,Hyundai
3462,Ford Fiesta Classic 1.4 Duratorq CLXI,,2011,143143,Diesel,Manual,First,17.8,1399,67,5,2.1,Ford
3062,Skoda Laura Ambiente 2.0 TDI CR AT,Coimbatore,2012,143017,Diesel,Automatic,First,20,1968,138.1,5,6.58,Skoda
1809,Hyundai Getz 1.3 GLS,Pune,2007,143000,Petrol,Manual,Second,14.2,1341,82.9,5,1.1,Hyundai
4894,Renault Duster 110PS Diesel RxL,Pune,2014,142000,Diesel,Manual,Second,19.01,1461,108.45,5,6,Renault
4448,Toyota Innova 2.5 G4 Diesel 7-seater,Hyderabad,2006,142000,Diesel,Manual,First,12.8,2494,102,7,6.25,Toyota
450,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,13,1343,90,5,0.9,Honda
4614,Hyundai Santro D Lite,Chennai,2001,140000,Petrol,Manual,Third,20.3,1086,68,5,0.7,Hyundai
1311,Mahindra XUV500 W8 2WD,Hyderabad,2013,140000,Diesel,Manual,Second,15.1,2179,140,7,9,Mahindra
275,Maruti Swift Ldi BSIII,Chennai,2007,140000,Diesel,Manual,Second,17.8,1248,75,5,2,Maruti
842,Maruti Swift Ldi BSIV,Pune,2009,140000,Diesel,Manual,Second,17.8,1248,75,5,2.49,Maruti
4301,Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,Diesel,Manual,First,14.24,2755,174.5,7,10.75,Toyota
1450,Toyota Innova 2.5 GX 7 STR,Pune,2010,140000,Diesel,Manual,Third,12.8,2494,102,7,6.25,Toyota
3390,Honda Amaze VX i-DTEC,Pune,2016,138000,Diesel,Manual,First,25.8,1498,98.6,5,5.15,Honda
1602,Honda City 1.5 V MT,Pune,2009,138000,Petrol,Manual,Second,17,1497,118,5,3.5,Honda
77,Maruti Zen Estilo 1.1 VXI BSIII,Delhi,2008,138000,Petrol,Manual,First,18.2,1061,64,5,1.2,Maruti
1967,Tata Indigo LS Dicor,Pune,2008,138000,Diesel,Manual,Second,17.1,1396,70,5,1.25,Tata
3727,Tata Indica Vista Quadrajet VX,Hyderabad,2012,137800,Diesel,Manual,First,22.3,1248,74,5,2.2,Tata
4653,Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1,1991,147.9,4,4.65,Chevrolet
2715,BMW 3 Series 320d,Chennai,2009,137000,Diesel,Automatic,Second,13.2,1995,190,5,9,BMW
2508,Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,Diesel,Automatic,First,13.5,2987,282,5,18.5,Mercedes-Benz
1129,Tata Indica GLS BS IV,Pune,2007,137000,Petrol,Manual,Second,15.3,1193,65.3,5,0.95,Tata
725,Hyundai Santro Xing GLS,Chennai,2009,136642,Petrol,Manual,First,17.92,1086,62.1,5,1.55,Hyundai
2413,Mitsubishi Pajero 2.8 GLX CRZ,Mumbai,2004,136532.7167,Diesel,Manual,First,10.5,2835,107.2,6,3.45,Mitsubishi
965,Toyota Fortuner 3.0 Diesel,Chennai,2010,136000,Diesel,Manual,Second,11.5,2982,171,7,11,Toyota
856,Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,2014,135670,Diesel,Manual,First,22.7,1498,89.84,5,6.55,Ford
3720,Ford Ikon 1.4 TDCi DuraTorq,Jaipur,2010,135000,Diesel,Manual,First,13.8,1399,68,5,1.6,Ford
1315,Honda CR-V Petrol 2WD,Chennai,2004,135000,Petrol,Automatic,Third,14.4,1997,152,5,3,Honda
4172,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8,1248,75,5,3.1,Maruti
1509,Renault Duster 110PS Diesel RxZ,Pune,2012,135000,Diesel,Manual,First,19.01,1461,108.45,5,5.4,Renault
4900,Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Diesel,Manual,First,11.5,2982,171,7,11,Toyota
2818,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2009,135000,Diesel,Manual,Second,12.8,2494,102,8,8.2,Toyota
4597,Maruti Wagon R VXI Minor,Chennai,2010,134000,Petrol,Manual,Second,18.9,1061,67,5,1.65,Maruti
2392,Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,133944,Diesel,Manual,Second,18,1248,75,5,3.5,Tata
3480,Tata Indica V2 DLG TC,Mumbai,2006,133000,Diesel,Manual,Second,16.8,1405,68,5,0.86,Tata
1683,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405,62,5,0.7,Tata
2597,Mahindra Xylo D4 BS III,Hyderabad,2016,132000,Diesel,Manual,First,14.95,2489,93.7,7,5.5,Mahindra
351,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49,Mitsubishi
2259,Skoda Octavia Elegance 1.9 TDI,Hyderabad,2003,132000,Diesel,Manual,First,18.7,1896,66,5,2.25,Skoda
3599,Toyota Etios G SP,Bangalore,2013,132000,Petrol,Manual,First,16.78,1496,88.73,5,4.7,Toyota
2926,Mahindra XUV500 W8 2WD,Coimbatore,2015,131832.4195,Diesel,Manual,First,15.1,2179,140,7,12.49,Mahindra
4294,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5,Toyota
3405,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609,120,7,3.6,Mahindra
1742,Maruti Swift Dzire VDI,Pune,2013,131000,Diesel,Manual,First,26.59,1248,74,5,3.6,Maruti
3468,Mercedes-Benz E-Class 280 CDI,Mumbai,2005,131000,Diesel,Automatic,First,11,2987,198.5,5,10,Mercedes-Benz
768,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494,100,7,9.6,Toyota
2958,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,,2010,130923,Diesel,Automatic,First,14.21,2143,203,5,12.5,Mercedes-Benz
4131,Mahindra XUV500 W8 2WD,Coimbatore,2013,130790,Diesel,Manual,First,16,2179,140,7,9.24,Mahindra
63,Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.3,1248,73.9,5,3.85,Maruti
2837,Ford Endeavour 4x2 XLT,Hyderabad,2010,130000,Diesel,Manual,First,13.1,2499,141,7,6,Ford
401,Hyundai Accent GLE,Pune,2001,130000,Petrol,Manual,Second,13.2,1495,94,5,0.75,Hyundai
249,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7,7,Maruti
2394,Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,Diesel,Manual,First,23.4,1248,74,5,3.25,Maruti
1663,Maruti Swift Dzire VDi,Hyderabad,2013,130000,Diesel,Manual,First,19.3,1248,73.9,5,3.85,Maruti
3893,Maruti Swift Dzire VDi,Jaipur,2010,130000,Diesel,Manual,Second,19.3,1248,73.9,5,4,Maruti
1619,Maruti Swift LDI Optional,Jaipur,2015,130000,Diesel,Manual,First,25.2,1248,74,5,4.5,Maruti
3970,Volkswagen Vento Diesel Trendline,Chennai,2012,130000,Diesel,Manual,First,20.54,1598,103.6,5,4.75,Volkswagen
362,Ford Figo Diesel EXI,Pune,2010,129986,Diesel,Manual,Second,20,1399,68,5,3.2,Ford
4665,Mahindra Xylo D4 BS III,Hyderabad,2015,129750,Diesel,Manual,Second,14.95,2489,93.7,7,6.8,Mahindra
2619,Ford Endeavour Hurricane LE,Mumbai,2012,129000,Diesel,Automatic,First,12.8,2953,156,7,7,Ford
2058,Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.8,1299,70,5,1.5,Ford
4055,Hyundai i20 Asta 1.4 CRDi,Jaipur,2013,129000,Diesel,Manual,Third,21.27,1396,88.76,5,4.11,Hyundai
3831,Tata Indica V2 eLS,Chennai,2017,129000,Diesel,Manual,First,25,1396,69,5,3,Tata
3087,Tata Indigo CS LX (TDI) BS III,Jaipur,2008,128813,Diesel,Manual,First,19.09,1396,69,5,1.5,Tata
909,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7,BMW
139,Mahindra Logan Diesel 1.5 DLS,Chennai,2011,128000,Diesel,Manual,Third,15.7,1461,65,5,2,Mahindra
489,Nissan X-Trail SLX MT,Pune,2010,128000,Diesel,Manual,First,14.42,1995,147.6,5,6.2,Nissan
245,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,2005,128000,Diesel,Manual,Second,12.8,2494,102,8,4.25,Toyota
1875,Maruti Ritz VDi,Hyderabad,2011,127887,Diesel,Manual,First,21.1,1248,73.94,5,2.95,Maruti
4983,Tata Manza Aura Plus Quadrajet BS IV,Hyderabad,2010,127510,Diesel,Manual,Second,19,1248,90,5,1.4,Tata
3268,Toyota Innova 2.5 V Diesel 7-seater,Bangalore,2007,127079,Diesel,Manual,First,12.8,2494,102,7,6.99,Toyota
1211,Toyota Innova 2.5 EV Diesel MS 8 Str BSIII,Mumbai,2006,127001,Diesel,Manual,First,12.8,2494,102,8,4.95,Toyota
1203,Honda City V MT,Pune,2013,127000,Petrol,Manual,Second,16.8,1497,116.3,5,4.5,Honda
4945,Hyundai Santro Xing XL eRLX Euro III,Pune,2005,126000,Petrol,Manual,Second,17,1086,62.1,5,1.2,Hyundai
3241,Mahindra XUV500 W8 2WD,Chennai,2011,126000,Diesel,Manual,Third,16,2179,140,7,6.7,Mahindra
2258,Maruti Omni MPI STD BSIV,Jaipur,2013,126000,Petrol,Manual,First,16.8,796,34.2,5,1.6,Maruti
1,Honda City 1.5 EXI,Pune,2001,125943,Petrol,Manual,Second,13,1493,100,5,1.45,Honda
3803,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7,1582,126.24,5,9,Hyundai
2489,Nissan Sunny 2011-2014 Diesel XL,Pune,2013,125600,Diesel,Manual,First,21.64,1461,84.8,5,3.75,Nissan
1510,Audi A4 3.2 FSI Tiptronic Quattro,Hyderabad,2012,125000,Petrol,Automatic,First,10.5,3197,241.4,5,18,Audi
4491,Ford Fiesta 1.4 Duratec ZXI,Jaipur,2007,125000,Petrol,Manual,Third,16.6,1388,68,5,1.5,Ford
1611,Honda Accord 2.4 AT,Mumbai,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,2.6,Honda
269,Honda Civic 2006-2010 1.8 S MT,Pune,2006,125000,Petrol,Manual,Second,13.5,1799,130,5,2.3,Honda
2195,Maruti Alto LX,Jaipur,2010,125000,Petrol,Manual,First,19.7,796,46.3,5,0.92,Maruti
324,Maruti Swift 1.3 VXi,Jaipur,2006,125000,Petrol,Manual,Fourth & Above,16.1,1248,74,5,2.35,Maruti
3394,Mitsubishi Lancer GLXD,Chennai,2003,125000,Diesel,Manual,Third,14.8,1998,68,5,3,Mitsubishi
4127,Tata Zest Quadrajet 1.3 75PS XE,Hyderabad,2016,125000,Diesel,Manual,First,22.95,1248,74,5,4.6,Tata
966,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598,103.6,5,6.25,Volkswagen
4890,Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.6,2523,63,7,1.95,Mahindra
2707,Tata Indigo eCS LX BSIV,Chennai,2011,124000,Diesel,Manual,First,23.03,1396,69,5,2.3,Tata
986,Maruti Swift Dzire VDi,Hyderabad,2014,123900,Diesel,Manual,First,19.3,1248,73.9,5,5.4,Maruti
2665,Nissan Micra Diesel XV,Hyderabad,2011,123880,Diesel,Manual,First,23.08,1461,63.1,5,3.3,Nissan
1292,Hyundai Accent GLE,Pune,2005,123200,Petrol,Manual,Second,13.2,1495,94,5,1,Hyundai
699,Ford Fiesta Classic 1.4 Duratorq CLXI,Chennai,2013,123000,Diesel,Manual,First,17.8,1399,67,5,4.45,Ford
1835,Honda City 1.5 EXI,Jaipur,2005,123000,Petrol,Manual,Third,13,1493,100,5,1.1,Honda
4363,Toyota Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7,16.5,Toyota
2387,Skoda Laura Ambiente,Hyderabad,2008,122397,Diesel,Manual,First,17.5,1896,106,5,4.4,Skoda
